Symbol,Date,Open,Close,Volume
MSFT,01/01/2024,2314.77,2351.56,3026925
AAPL,02/01/2024,203.05,160.58,3542748
AMZN,03/01/2024,2234.44,2228.92,3082565
GOOGL,04/01/2024,2968.2,2921.5,2229015
GOOGL,05/01/2024,2056.12,2081.3,867660
GOOGL,06/01/2024,2751.71,2710.04,2644301
TSLA,07/01/2024,149.37,117.66,629233
GOOGL,08/01/2024,633.27,608.66,2015041
AMZN,09/01/2024,2467.26,2457.93,3297252
MSFT,10/01/2024,2080.74,2127.7,953851
AMZN,11/01/2024,2545.08,2534.47,2223843
AAPL,12/01/2024,2671.05,2717.79,3341253
AAPL,13/01/2024,837.79,876.63,1992823
TSLA,14/01/2024,787.56,789.61,4364633
AMZN,15/01/2024,1894.72,1897.12,1556537
MSFT,16/01/2024,2707.4,2745.95,2663428
GOOGL,17/01/2024,1035.82,1071.36,543942
AAPL,18/01/2024,455.03,420.89,4610140
GOOGL,19/01/2024,273.47,243.87,2287616
TSLA,20/01/2024,1818.63,1803.58,1934867
AMZN,21/01/2024,1130.15,1093.85,2932916
MSFT,22/01/2024,2874.86,2869.42,4121631
AMZN,23/01/2024,2418.71,2467.86,556116
GOOGL,24/01/2024,1100,1053.1,4174414
TSLA,25/01/2024,2929.05,2883.72,868063
AAPL,26/01/2024,1002.11,976.45,4368446
GOOGL,27/01/2024,2478.99,2503.47,938319
AAPL,28/01/2024,2642.97,2635.83,4339434
AAPL,29/01/2024,843.69,885.28,2581806
AMZN,30/01/2024,2721.8,2743.81,4591275
GOOGL,31/01/2024,183.92,194.82,800008
GOOGL,01/02/2024,1292.64,1264.82,3518133
GOOGL,02/02/2024,2826.57,2843.67,4990090
AMZN,03/02/2024,716.89,734.7,2279863
AAPL,04/02/2024,609.83,607.49,1066796
MSFT,05/02/2024,589.62,590.7,2624144
TSLA,06/02/2024,1921.15,1896.65,3047310
AAPL,07/02/2024,210.61,212.7,2686370
AAPL,08/02/2024,170.49,172.01,4205527
GOOGL,09/02/2024,2225.71,2186.58,4853879
TSLA,10/02/2024,526.03,517.8,3087599
AAPL,11/02/2024,919.91,879.95,1945438
MSFT,12/02/2024,1044.55,1048.86,4695562
AAPL,13/02/2024,1767.35,1788.62,2657827
TSLA,14/02/2024,1112.78,1101.99,3267038
TSLA,15/02/2024,1135.03,1166.76,3277080
TSLA,16/02/2024,327.17,327.67,532577
MSFT,17/02/2024,1683.31,1660.98,3918723
AAPL,18/02/2024,1602.94,1569.81,4261583
TSLA,19/02/2024,2811.09,2833.19,2118942
AMZN,20/02/2024,1677.86,1658.77,1772639
TSLA,21/02/2024,2463.86,2428.09,4799513
TSLA,22/02/2024,2647.45,2655.52,1867205
GOOGL,23/02/2024,2440.45,2429.7,2122861
AMZN,24/02/2024,1624.69,1602.06,2603155
AMZN,25/02/2024,2575.71,2572.99,3303470
GOOGL,26/02/2024,2604.55,2558.44,1291430
MSFT,27/02/2024,787.37,828.35,2956327
GOOGL,28/02/2024,715.55,751.13,2333888
MSFT,29/02/2024,2278.9,2298.94,1930424
TSLA,01/03/2024,2123.92,2157.25,3369910
AMZN,02/03/2024,607.16,588.78,4918798
AMZN,03/03/2024,2136.88,2176.84,2210669
TSLA,04/03/2024,1414.65,1446.77,3169157
AMZN,05/03/2024,1550.65,1592.8,567985
GOOGL,06/03/2024,1853.22,1877.3,4066995
AMZN,07/03/2024,171.55,206.13,2627604
AMZN,08/03/2024,520.91,521.36,1145142
AMZN,09/03/2024,1866.28,1822.02,1348503
GOOGL,10/03/2024,2216.03,2197.35,4257537
AMZN,11/03/2024,437.87,449.56,3804222
GOOGL,12/03/2024,140.78,115.75,4700708
TSLA,13/03/2024,815.44,830.21,3874418
AMZN,14/03/2024,1363.06,1390.16,2631849
AAPL,15/03/2024,715.5,759.58,4180150
GOOGL,16/03/2024,2715.15,2683.29,3353392
GOOGL,17/03/2024,2591.02,2543.69,2623453
TSLA,18/03/2024,1622.26,1588.77,4689562
AMZN,19/03/2024,252.42,211.4,2375440
GOOGL,20/03/2024,425.09,436.54,3291125
TSLA,21/03/2024,2984.85,2966.42,4707507
MSFT,22/03/2024,920.54,909.86,4234229
AMZN,23/03/2024,1021.98,1071.33,3724234
MSFT,24/03/2024,1838.43,1825.7,2290550
AMZN,25/03/2024,926.01,915.36,3122385
AMZN,26/03/2024,1584.68,1564.42,3835331
AAPL,27/03/2024,2184.89,2215.12,4781436
TSLA,28/03/2024,2430.21,2462.83,2246626
AAPL,29/03/2024,816.21,858.14,3459350
GOOGL,30/03/2024,2383.25,2339.86,2902785
AMZN,31/03/2024,1400.58,1354.71,3270908
AAPL,01/04/2024,1488.84,1511.28,700816
AMZN,02/04/2024,1506.22,1518.14,2554142
TSLA,03/04/2024,781.54,813.89,4018712
AAPL,04/04/2024,2599.85,2638.12,4742463
TSLA,05/04/2024,1161.32,1151.78,980106
AAPL,06/04/2024,1259.67,1286.84,525391
MSFT,07/04/2024,1207,1195.66,1924841
TSLA,08/04/2024,2257.86,2291.75,793800
